Unnamed: 0,collectionsURL,unitCode,EDANurl,title,creditLine,date,identifier,name,notes,objectType,physicalDescription,place,publisher,topic,indexed_dates,indexed_names,indexed_object_types,indexed_places,indexed_topics,mediaCount,mediaURLs,thumbnail,object_types_list,object_types_norm,object_types_str,canonical_type,action_family,multi_action
5098,https://collections.si.edu/search/detail/edanmdm:nmah_663562,NMAH,edanmdm:nmah_663562,sampler,"{""Credit Line"": ""Gift of Delsy D. Conwell""}","{""date made"": ""1801"", ""associated date"": ""1801""}","{""ID Number"": ""CL.299386.001"", ""catalog number"": ""299386.001"", ""accession number"": ""299386""}",,"{""Location"": ""Currently not on view""}","{""Object Name"": ""Sampler""}","{""Physical Description"": ""cloth, linen (overall material)\nfiber (overall material)\nglass (frame material)\nwood (frame material)"", ""Measurements"": ""overall-framed: 20 1/2 in x 17 in x 5/8 in; 52.07 cm x 43.18 cm x 1.5875 cm""}","{""place made"": ""United States: Massachusetts, Groveland""}",,,"[""1800s""]",,"[""Samplers (embroidery)""]","[""United States"", ""Massachusetts"", ""Groveland""]",,0,,,['Samplers (embroidery)'],['samplers (embroidery)'],['samplers (embroidery)'],samplers,Textile making,False
5321,https://collections.si.edu/search/detail/edanmdm:nmah_649894,NMAH,edanmdm:nmah_649894,Lucretia M. Hand's Sampler,"{""Credit Line"": ""Bequest of Miss Mabel E. Harris""}","{""date made"": ""1810""}","{""ID Number"": ""TE.T14845"", ""catalog number"": ""T14845"", ""accession number"": ""282859""}","{""maker"": ""Hand, Lucretia M.""}","{""Description"": ""Lucretia added to her basic marking sampler a decoration of flowering plants, which stand for nature. It is hemstitched on all sides with dark thread. Lucretia included the inscription: \u201cLucretia M Hand.\u201d The sampler is stitched with silk embroidery thread on a linen ground with a thread count of warp 32, weft 39/in. The stitches used are: cross, Algerian eye, back, queen, and hem.\nLucretia M. Hand was born on October 7, 1799, in Sag Harbor (Long Island), New York to Jared (1762-) and Beulah Hedges (1769 \u20131828) Hand. On July 30, 1823, she married, Dr. George Washington Harris of Greenport, Long Island. She died on Long Island in 1863."", ""Location"": ""Currently not on view""}","{""Object Name"": ""sampler""}","{""Physical Description"": ""silk on linen (overall material)"", ""Measurements"": ""overall: 11 5/8 in x 7 5/8 in; 29.5275 cm x 19.3675 cm""}",,,,"[""1810s""]","[""Hand, Lucretia M.""]","[""Samplers (embroidery)""]",,"[""Embroidery"", ""Textiles""]",0,,,['Samplers (embroidery)'],['samplers (embroidery)'],['samplers (embroidery)'],samplers,Textile making,False
5322,https://collections.si.edu/search/detail/edanmdm:nmah_649885,NMAH,edanmdm:nmah_649885,Sukey Foster's Sampler,"{""Credit Line"": ""Gift of Dr. Arthur S. Adams""}","{""Date made"": ""1803""}","{""ID Number"": ""1980.0849.01"", ""accession number"": ""1980.0849"", ""catalog number"": ""1980.0849.01""}","{""maker"": ""Foster, Sukey""}","{""Description"": ""One script alphabet with letters colored in pairs; no \""J\""; three rows separated by simple crossbands. Below verse, three flowering plants (one in vase) and two-story building with four chimneys standing next to tree on hill. Center section outlined by three sawtoothed bands and short strawberry-vine band. Border of wide geometric flowering vine on top and two sides, and band of shaded satin stitches across bottom. Silk embroidery thread on linen ground. STITCHES: cross, crosslet, chain, detached chain, petit point, outline, satin, hem. THREAD COUNT: warp 32, weft 28/in.<br>\n<B>Inscriptions:</B><br>\n\""The fairest flower will soon decay<br>Its fragrant loose and splended hue<br>So youth and beauty wear away<br>And vanish is the morning dew<br>\nSukey Fosters Work<br>Wrought in the tWelfth<br>Year of her age<br>Cambridge<br>August 20 1803\""<br>\n<B>Background:</B><br>\nSukey was born on March 10, 1791, to James and Sukey Foster in Hopkinton, Massachusetts. She married William Adams on September 17, 1818, and they had four children\u2014Susan Ann, William, Hannah Foster, and Mary Jane. Sukey died in West Cambridge, Massachusetts, on September 13, 1846. Her sampler descended in the family of her son William."", ""Location"": ""Currently not on view""}","{""Object Name"": ""sampler""}","{""Physical Description"": ""linen (ground fabric material)\nsilk (embroidery thread material)"", ""Measurements"": ""overall: 23 1/2 in x 16 3/8 in; 59.69 cm x 41.5925 cm""}","{""Place Made"": ""United States: Massachusetts, Cambridge""}",,"{""depicted"": ""Alphabets""}","[""1800s""]","[""Foster, Sukey""]","[""Samplers (embroidery)""]","[""United States"", ""Massachusetts"", ""Cambridge""]","[""Embroidery"", ""Alphabets"", ""Textiles""]",0,,,['Samplers (embroidery)'],['samplers (embroidery)'],['samplers (embroidery)'],samplers,Textile making,False
5333,https://collections.si.edu/search/detail/edanmdm:nmah_644829,NMAH,edanmdm:nmah_644829,sampler,"{""Credit Line"": ""Gift of Elizabeth Rhodes in memory of her mother Jessie A. Rhodes""}","{""Date made"": ""1787""}","{""ID Number"": ""TE.T16184"", ""catalog number"": ""T16184.000""}",,"{""Location"": ""Currently not on view""}","{""Object Name"": ""Sampler""}","{""Physical Description"": ""wool (overall ground)\nsilk (overall thread)"", ""Measurements"": ""overall: 16 3/4 in x 12 1/4 in; 42.545 cm x 31.115 cm""}","{""place made"": ""United Kingdom: Scotland"", ""made in"": ""United Kingdom: Scotland""}",,,"[""1780s""]",,"[""Samplers (embroidery)""]","[""United Kingdom"", ""Scotland""]",,0,,,['Samplers (embroidery)'],['samplers (embroidery)'],['samplers (embroidery)'],samplers,Textile making,False
5336,https://collections.si.edu/search/detail/edanmdm:nmah_643873,NMAH,edanmdm:nmah_643873,Betsey Colcord's Sampler,"{""Credit Line"": ""Dr. and Mrs. Arthur M. Greenwood""}","{""date made"": ""1791""}","{""ID Number"": ""TE.E388924"", ""catalog number"": ""E388924.000"", ""accession number"": ""182022""}","{""maker"": ""Colcord, Betsey Towle""}","{""Description"": ""This sampler by Betsey T. Colcord, is stitched in cross stitch with silk embroidery thread on a cotton ground with a thread count of warp 40, weft 44/ in. A paper label was attached to the sampler that read: \u201cBetsey T. Colcord / July 3, 1812 / February 13,1903 / Vergennes, Vermont.\u201d Betsey Towle Colcord was born July 3, 1812 to Tristum Coffin and Ann R. Towle Colcord in Franklin, Vermont. She married on 13 February 1836, Enoch Pomery (1802 - 1875). They had four children - Candace Pease (1837 - 1915), George Enoch (1840 - ), Mary Ann (1844 - ), and Luna Lovice (1846 - 1870). She died February 13, 1903."", ""Location"": ""Currently not on view""}","{""Object Name"": ""Embroidery, Sampler\nsampler""}","{""Physical Description"": ""cotton (overall ground)\nsilk (overall thread)"", ""Measurements"": ""overall: 13 3/8 in x 12 in; 33.9725 cm x 30.48 cm""}",,,,"[""1790s""]","[""Colcord, Betsey Towle""]","[""Embroidery, Sampler"", ""Samplers (embroidery)""]",,,0,,,"['Embroidery, Sampler', 'Samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']",samplers,Textile making,False
5337,https://collections.si.edu/search/detail/edanmdm:nmah_643870,NMAH,edanmdm:nmah_643870,Katharine Mayo's Sampler,"{""Credit Line"": ""Gift of Dr. and Mrs. Arthur M. Greenwood""}","{""Date made"": ""1773""}","{""ID Number"": ""TE.E388923"", ""catalog number"": ""E388923.000"", ""accession number"": ""182022""}","{""maker"": ""Mayo, Katherine""}","{""Description"": ""This sampler by Katherine Mayo of Roxbury, MA, dating to 1773, is stitched with silk embroidery thread on a linen ground with a thread count of warp 22, weft 26/ in. The stitches used are cross, crosslet, two-sided cross, marking cross, and Algerian eye. Katharine included the inscription: \""KathaR / INE MAYO IS / MY NaME NEW / ENGLaND IS MY / NaTION ROXBVRY IS MY / DWELLING PLACE AND / ChriSt is MY SalVatION / When I aM Dead & MY BONES / are Rotin hear / YOV may see my name When I am ForgOtten Kat / harine MAYO her sample 1773.\"" Katherine Mayo was born June 25, 1762, in Roxbury, Suffolk Co., Massachusetts to Thomas and Mary Heath Mayo. She died April 15, 1857."", ""Location"": ""Currently not on view""}","{""Object Name"": ""Embroidery, Sampler\nsampler""}","{""Physical Description"": ""linen (ground fabric material)\nsilk (embroidery thread material)"", ""Measurements"": ""overall: 10 1/8 in x 7 in; 25.7175 cm x 17.78 cm""}","{""place made"": ""United States: Massachusetts, Boston, Roxbury""}",,,"[""1770s""]","[""Mayo, Katherine""]","[""Embroidery, Sampler"", ""Samplers (embroidery)""]","[""United States"", ""Massachusetts"", ""Roxbury"", ""Boston""]",,0,,,"['Embroidery, Sampler', 'Samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']",samplers,Textile making,False
5353,https://collections.si.edu/search/detail/edanmdm:nmah_639740,NMAH,edanmdm:nmah_639740,Elizabeth Pitman's Sampler,"{""Credit Line"": ""Gift of Mrs. Eleanor Goodnight Morrison""}","{""date made"": ""1802""}","{""ID Number"": ""TE.T12180"", ""catalog number"": ""T12180"", ""accession number"": ""233455""}","{""maker"": ""Pitman, Elizabeth""}","{""Description"": ""The lettering on Elizabeth\u2019s sampler is in black silk, and the whole sampler is framed by vines with leaves and flowers worked in various pulled thread patterns. She included the inscription:\n<br>\""Elizabeth Pitman in<br>her 12th year 1802<br>And am I born to die, to lay this body down<br>And mu<i>f</i>[s]t my trembling <i>f</i>[s]pirit fly into a world<br>unknown\""<br>\n(Most of the verse had disappeared; however it is a standard verse on samplers of the period, <i>Hymns for Children</i> (1763) by Charles Wesley.) Charles Wesley wrote over two thousand hymns during his lifetime, and Elizabeth Pitman chose one that was often used on samplers on the imminence of death. The sampler is stitched with silk embroidery thread on a linen ground with a thread count of warp 44, weft 44/in. The stitches used are cross, rice, Algerian eye, eyelet, outline, stem, and pulled thread. Elizabeth\u2019s sampler came to the Smithsonian in very poor condition, but is important for research because of the pulled thread work on it and because it is a rare Southern sampler.\nElizabeth Pitman was born on November 30, 1790, to Andrew and Francis Frankey Pitman in Harrisonburg, Virginia. She married Isaac Mytinger on July 16, 1807, and sometime after his death on May 26, 1814, she married Anthony Huffman (1784-1861). They had seven children - David (1815-), Frances C. (1816-), John Morgan (1821-), Caroline Matilda (1825-), Edward (1828-), Ann Elizabeth (1830-), and Asburina Cornelia (1833-). She died on September 3, 1870."", ""Location"": ""Currently not on view""}","{""Object Name"": ""embroidery, sampler\nsampler""}","{""Physical Description"": ""cotton (ground material)\nsilk (embroidery thread material)\nlinen (embroidery thread material)"", ""Measurements"": ""overall: 15 in x 12 3/8 in; 38.1 cm x 31.4325 cm""}",,,,"[""1800s""]","[""Pitman, Elizabeth""]","[""embroidery, sampler"", ""Samplers (embroidery)""]",,"[""Embroidery"", ""Textiles""]",0,,,"['embroidery, sampler', 'Samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']",samplers,Textile making,False
5354,https://collections.si.edu/search/detail/edanmdm:nmah_639739,NMAH,edanmdm:nmah_639739,Jemima Gorham's Sampler,"{""Credit Line"": ""Bequest of the Misses Long""}","{""Date made"": ""1790""}","{""ID Number"": ""TE.L06956.A"", ""catalog number"": ""L06956A"", ""accession number"": ""113420""}","{""maker"": ""Gorham, Jemima""}","{""Description"": ""Two block alphabets, one with 26 letters and one with no \""J\""; \""V\"" and \""U\"" reversed; numbers to 12. Landscape with gentleman and two ladies; gentleman wears short coat, knee breeches, and wide hat, and carries a walking stick. One lady wears flowered dress; the other wears striped dress and both wear caps or hats. Hill, tree, and flowering bush on lawn, and small leaping dog. Overhead, clouds and trumpeting angel. Border has wide free-style meandering vine with various flowers. Brown guidelines under center scene and floral border. Just below verse, five rows of staggered cross stitch cover seam where two pieces of ground fabric join. Silk embroidery thread on linen ground. STITCHES: cross, crosslet, petit point, chain, stem, outline, queen. THREAD COUNT: warp 26, weft 32/in.<br>\n<B>Inscriptions:</B><br>\n\""Let <i>f</i>[s]potle<i>f</i>[s]s innocence and truth<br>My every action guide<br> And guard my unexperienced Youth<br>From vanity and pride<br>\nJemima<br>Gorham born<br> august 28 1775<br>made this sampler<br>in Bristol 1790<br>at Mrs. ushers<br> School\""<br>\n<B>Background:</B><br>\nJemima was born on August 29, 1775, to Isaac and Sarah Thomas Gorham in Bristol, Rhode Island. She was the oldest of nine children, and her father died at sea at the age of 48. Jemima married Nicholas Peck as his second wife on October 1, 1797, and died on November 7, 1798, in Bristol, shortly after the birth of their daughter, Jemima Gorham Peck. A year later Nicholas married his wife's sister, Sarah Gorham, on October 5, 1799."", ""Location"": ""Currently not on view""}","{""Object Name"": ""sampler""}","{""Physical Description"": ""linen (ground fabric material)\nsilk (embroidery thread material)"", ""Measurements"": ""overall: 13 in x 10 7/8 in; 33.02 cm x 27.6225 cm""}","{""Place Made"": ""United States: Rhode Island, Bristol""}",,"{""depicted"": ""Alphabets""}","[""1790s""]","[""Gorham, Jemima""]","[""Samplers (embroidery)""]","[""Rhode Island"", ""United States"", ""Bristol""]","[""Embroidery"", ""Alphabets"", ""Textiles""]",0,,,['Samplers (embroidery)'],['samplers (embroidery)'],['samplers (embroidery)'],samplers,Textile making,False
5355,https://collections.si.edu/search/detail/edanmdm:nmah_639709,NMAH,edanmdm:nmah_639709,Sarah Hoopes' Sampler,"{""Credit Line"": ""Gift of Mrs. W. H. Hoopes""}","{""date made"": ""1799""}","{""ID Number"": ""TE.T11163"", ""catalog number"": ""T11163"", ""accession number"": ""203959""}","{""maker"": ""Hoopes, Sarah""}","{""Description"": ""This sampler features nine rectangles that are outlined by cross-stitch and satin sawtooth bands. The center and corner rectangles contain flowers and strawberries with some worked in crinkled silk. The flower and strawberry motifs on this sampler indicate nature and a perfect fruit: the strawberry has no rind or pit to throw away. The verses and inscription are in the remaining four rectangles, reading from the top center, to the right center, to the left center, back to the lower part of the right center, and then to the bottom center, resulting in jumps from one rectangle to another where words did not fit the space. The words are worked in green and yellow thread, except for the name \u201cPhebe Hoopes,\u201d which is worked in the only black thread used on the sampler. The inscriptions are:\n<br>\u201cWaz[s]h Lord ANd<br>PUrIFY MY Heart<br>ANd MaKe It CleaN<br>IN EVerY Part ANd<br>WheN It IS CleaN<br>LOrd KeeP It SO<br>FOr That IS MOre<br>ThaN I CaN DO<br>The LOSS OF TIMe<br>IS MUCh The LOSS<br>OF Truth IS MOre<br>The LOSS OF ChrISt<br>IS SUCh That NO<br><br>MaN CaN ReStOre<br>POOR State of JaCob<br>Here It SeeMS TO Me<br>The CattLe FOUNd<br>AS SOFt A Bed AS He<br>Yet GOd APPeared<br>There HIS JOY ANd<br>CrOWN GOd IS NOt<br>ALwaYS FOUNd ON<br>BedS OF DOWN<br><br>The Bed WaS<br>Earth The RaIsed<br>PILLar StONe<br>WhereON POOR<br> JaCOb ReSt HIS<br>Head ALONe<br>HeaVeN WaS HIS<br>CaNOPY The Shades<br>OF NIGht WaS<br>HIS DraWN CUrtaIN<br>TO EXCLUde The<br>LIGht ThIS WOrK<br><br>IN HaND MY FrIeNdS<br>MaY HaVe WHeN I aM<br>IN The SILeNt GraVe<br><br>Sarah HOOPes<br>DauGhter OF Abram<br>ANd SUSaNNa HooPeS<br>Her WOrK doN<br>IN The 14th Year OF<br>Her AGe 1799<br>ReeSe HOOPeS<br>DaNIeL HOOPeS<br>ALICe HOOPeS<br>Phebe HOOPeS<br>AP EJ(?) PH SH\u201d<br>\nThe four verses that Sarah Hoopes included reflect the emphasis of her time on piety and the brevity of life. Even though Sarah\u2019s sampler came to the Smithsonian in poor condition, it is important to the study of these compartmented verse and flower samplers that were worked only in Philadelphia. The sampler is stitched with silk embroidery thread on a linen ground with a thread count of warp 51, weft 46/in. The stitches used are cross, satin, stem, and outline.\nSarah Hoopes was born on December 25, 1785, to Abraham (1755-1807) and Susanna McNees (1752-1834) Hoopes of Newtown, Delaware County, Pennsylvania. Her father was a shoemaker. She lists the names of her two brothers, Reese and Daniel, and her two sisters, Alice and Phebe, on her sampler. There are other initials under Phebe\u2019s name. She died unmarried."", ""Location"": ""Currently not on view""}","{""Object Name"": ""embroidery, sampler\nsampler""}","{""Physical Description"": ""linen (ground fabric material)\nsilk (embroidery thread material)"", ""Measurements"": ""overall: 16 1/2 in x 13 3/4 in; 41.91 cm x 34.925 cm""}",,,,"[""1790s""]","[""Hoopes, Sarah""]","[""embroidery, sampler"", ""Samplers (embroidery)""]",,"[""Embroidery"", ""Textiles""]",0,,,"['embroidery, sampler', 'Samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']","['embroidery, sampler', 'samplers (embroidery)']",samplers,Textile making,False
5356,https://collections.si.edu/search/detail/edanmdm:nmah_639706,NMAH,edanmdm:nmah_639706,sampler,"{""Credit Line"": ""Gift of Mrs. Henry Clarke Coe""}","{""Date made"": ""1798""}","{""ID Number"": ""TE.T07889"", ""catalog number"": ""T07889.000""}",,"{""Location"": ""Currently not on view""}","{""Object Name"": ""Sampler""}",,,,,"[""1790s""]",,"[""Samplers (embroidery)""]",,,0,,,['Samplers (embroidery)'],['samplers (embroidery)'],['samplers (embroidery)'],samplers,Textile making,False
